EventType,EventDate,HasSafetyRec,Mode,OriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,Make,Model,AirCraftCategory,AirportID,AmateurBuilt,NumberOfEngines,EngineType,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,BroadPhaseofFlight,ReportStatus,MostRecentReportType
ACC,2022-08-24T12:18:00Z,False,Aviation,8/15/2023 0:00,Minor,0.0,0.0,2.0,2.0,CESSNA,150H,AIR,VCB,false,1,REC,PERS,091,Substantial,VMC,Initial Climb,Completed,Final
ACC,2022-08-24T11:40:00Z,False,Aviation,11/3/2022 0:00,Minor,0.0,0.0,2.0,2.0,PIPER,PA28,AIR,0N0,false,1,REC,INST,091,Substantial,VMC,Initial Climb,Completed,Final
INC,2022-08-24T04:27:00Z,False,Aviation,,,,,,,AIRBUS,A320,AIR,,false,,,,NUSC,,,Initial Climb,,Prelim
ACC,2022-08-23T18:30:00Z,False,Aviation,4/27/2023 0:00,,0.0,0.0,0.0,0.0,ROCKWELL INTERNATIONAL,112A,AIR,KLXT,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
ACC,2022-08-23T16:00:00Z,False,Aviation,12/15/2022 0:00,,0.0,0.0,0.0,0.0,CESSNA,180,AIR,PAII,false,1,REC,OWRK,091,Substantial,VMC,Takeoff,Completed,Final
ACC,2022-08-23T15:47:00Z,False,Aviation,1/31/2024 0:00,Fatal,2.0,0.0,0.0,2.0,BELL,206B,HELI,,false,1,TS,AOBV,PUBU,Substantial,VMC,Maneuvering,Completed,Final
ACC,2022-08-23T12:45:00Z,False,Aviation,9/11/2024 0:00,Minor,0.0,0.0,1.0,1.0,PIPER,PA-30,AIR,52S,false,2,REC,PERS,091,Substantial,VMC,Initial Climb,Completed,Final
ACC,2022-08-23T10:30:00Z,False,Aviation,5/2/2024 0:00,,0.0,0.0,0.0,0.0,CHAMPION,7GCBA,AIR,ID05,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
ACC,2022-08-22T16:00:00Z,False,Aviation,12/15/2022 0:00,,0.0,0.0,0.0,0.0,TAYLORCRAFT,BC12-D1,AIR,,false,1,REC,PERS,091,Substantial,VMC,Taxi,Completed,Final
OCC,2022-08-22T09:45:00Z,False,Aviation,,,,,,,AIRBUS CANADA,BD500,AIR,,false,,,,UNK,Minor,,Initial Climb,,Prelim
ACC,2022-08-21T15:03:00Z,False,Aviation,4/25/2024 0:00,Fatal,2.0,0.0,0.0,2.0,JACKSON DENNIS,RV-8,AIR,,true,1,REC,PERS,091,Substantial,VMC,Maneuvering,Completed,Final
ACC,2022-08-21T15:00:00Z,False,Aviation,1/30/2024 0:00,,0.0,0.0,0.0,0.0,AERONCA,7AC,AIR,6FL0,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
