index,EventType,EventDate,HasSafetyRec,Mode,OriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,Make,Model,AirCraftCategory,AirportID,AmateurBuilt,NumberOfEngines,EngineType,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,BroadPhaseofFlight,ReportStatus,MostRecentReportType,FatalYN,DaysUntilPublished
5799,ACC,2023-05-29T12:30:00Z,False,Aviation,7/27/2023 0:00,Minor,0.0,0.0,1.0,1.0,GRUMMAN ACFT ENG COR-SCHWEIZER,G-164B,AIR,?,False,0.125,REC,AAPL,137,Substantial,VMC,Maneuvering,Completed,Final,0,0.02579979360165118
5800,ACC,2023-05-29T12:00:00Z,False,Aviation,7/7/2023 0:00,?,0.0,0.0,0.0,0.0,KOLB,Firestar SS,AIR,9WN5,True,0.125,REC,PERS,091,Substantial,VMC,Takeoff,Completed,Final,0,0.015479876160990712
5801,ACC,2023-05-29T11:52:00Z,False,Aviation,4/24/2025 0:00,?,0.0,0.0,0.0,0.0,PIPER,PA-28-181,AIR,U42,False,0.125,REC,INST,091,Substantial,VMC,Initial Climb,Completed,Final,0,0.3544891640866873
5802,ACC,2023-05-29T11:30:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,PIPER,PA46-500TP,AIR,LFTZ,False,0.125,?,BUS,NUSN,Destroyed,?,Takeoff,?,Prelim,0,0.35810113519091846
5803,ACC,2023-05-29T09:30:00Z,False,Aviation,10/20/2023 0:00,?,0.0,0.0,0.0,0.0,PIPER,PA-18-150,AIR,2Z5,False,0.125,REC,OWRK,091,Substantial,VMC,Landing,Completed,Final,0,0.0696594427244582
5804,ACC,2023-05-28T19:52:00Z,False,Aviation,?,Fatal,1.0,0.0,0.0,1.0,CESSNA,182,AIR,OIC,False,0.125,?,SKYD,091,Substantial,VMC,Maneuvering,In work,Prelim,1,0.35810113519091846
5805,ACC,2023-05-28T19:15:00Z,False,Aviation,?,Fatal,2.0,0.0,0.0,2.0,Luce,Buttercup,AIR,?,True,0.125,?,PERS,091,Destroyed,VMC,Enroute,In work,Prelim,1,0.35810113519091846
5806,ACC,2023-05-28T17:43:00Z,False,Aviation,10/20/2023 0:00,?,0.0,0.0,0.0,0.0,CESSNA,175A,AIR,?,False,0.125,REC,PERS,091,Substantial,VMC,Initial Climb,Completed,Final,0,0.07017543859649122
5807,ACC,2023-05-28T17:00:00Z,False,Aviation,10/20/2023 0:00,?,0.0,0.0,0.0,0.0,PIPER,PA-12,AIR,?,False,0.125,REC,PERS,091,Substantial,VMC,Takeoff,Completed,Final,0,0.07017543859649122
5808,ACC,2023-05-28T13:40:00Z,False,Aviation,7/27/2023 0:00,?,0.0,0.0,0.0,0.0,PIPER AIRCRAFT INC,PA-28-181,AIR,GFK,False,0.125,REC,INST,091,Substantial,VMC,Takeoff,Completed,Final,0,0.02631578947368421
5809,ACC,2023-05-28T13:35:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,CESSNA,175,AIR,?,False,,?,PERS,NUSN,Unknown,?,Enroute,?,Prelim,0,0.3586171310629515
5810,INC,2023-05-27T22:56:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,BOEING,737,AIR,JED,False,0.25,?,?,NUSC,Unknown,?,Landing,?,Prelim,0,0.3586171310629515
5811,ACC,2023-05-27T20:00:00Z,False,Aviation,4/10/2024 0:00,?,0.0,0.0,0.0,0.0,QUAD CITY,CHALLENGER,AIR,?,True,0.125,REC,PERS,091,Substantial,VMC,Enroute,Completed,Final,0,0.15995872033023734
5812,ACC,2023-05-27T16:17:00Z,False,Aviation,2/1/2024 0:00,?,0.0,0.0,0.0,0.0,PIAGGIO AERO INDUSTRIES SPA,P180,AIR,SGR,False,0.25,TP,PERS,091,Substantial,VMC,Takeoff,Completed,Final,0,0.1243550051599587
5813,ACC,2023-05-27T15:08:00Z,False,Aviation,?,Fatal,2.0,0.0,0.0,2.0,CESSNA,172,AIR,SVMT,False,,?,INST,NUSN,Destroyed,?,Takeoff,?,Prelim,1,0.3591331269349845
5814,ACC,2023-05-27T13:00:00Z,False,Aviation,9/28/2023 0:00,?,0.0,0.0,0.0,0.0,AYRES CORPORATION,S2R-G6,AIR,ULS,False,0.125,TP,AAPL,137,Substantial,VMC,Maneuvering,Completed,Final,0,0.059339525283797726
5815,ACC,2023-05-27T13:00:00Z,False,Aviation,6/21/2024 0:00,?,0.0,0.0,0.0,0.0,CESSNA,180,AIR,MEV,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.19711042311661506
5816,INC,2023-05-27T11:38:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,CESSNA,650,AIR,EKYT,False,0.25,?,?,NUSC,?,?,Initial Climb,?,Prelim,0,0.3591331269349845
5817,ACC,2023-05-26T12:18:00Z,False,Aviation,6/20/2024 0:00,Fatal,2.0,0.0,0.0,2.0,CESSNA,172,AIR,LNA,False,0.125,REC,INST,091,Destroyed,VMC,Initial Climb,Completed,Final,1,0.19711042311661506
